,-3,Invalid: other,,
,-2,Invalid: subject,,
,-1,Invalid: object,,
,0,Unclear,,
,1,Valid: but grammar issue or pragmatically strange,,
,2,Valid,,
Sentence,Valid/Invalid,Reason Why,"Correct Type 
(exact SUMO term,
if more than one, 
separate with commas)","Invalid 
Preposition"
Bonnie was fishing some glue.,1,fish FOR an item,,FALSE
Angelina was getting a somatic cell.,-1,"somatic cell is not something one can purchase,receive,obtain",Artifact,FALSE
Who was finding a valid card?,2,,,FALSE
Violet fell an electromechanical fitting.,1,,,FALSE
Alain has not froze a fungus.,2,,,FALSE
Nancy won't smell a cotton fabric.,2,,,FALSE
Who winks a commissioned officer rank?,1,wink AT,,FALSE
Sebastian watched a right true rib 3 bone.,2,,,FALSE
Who ascertained a data display device?,1,ascertain an idea not a physical entity,,FALSE
Rob was egesting a vegetable.,2,,,FALSE
Stanley has not discovered a radiator.,2,,,FALSE
Sue was hitting an inner ear bone.,2,,,FALSE
Who was constricting a commercial building?,-1,"constrict physically means the object has some leeway/""give""; a building is ""hard"" and fixed",AutonomousAgent,FALSE
Who doesn't ascertain a transfer switch?,-1,ascertain an idea not a physical entity,,FALSE
Who places an obturator artery?,1,,,FALSE
Max will be destining to a private rank to fall.,-3,"maybe ok if remove first instance of ""to""; cannot destine/establish an object; rather choose among options ",,FALSE
Dolly supported a propeller jet.,2,,,FALSE
Alexander doesn't play three nerve cells.,-1,"play an instrument, game, not a nonsentient entity",,FALSE
Alice has not determined an external iliac artery.,-1,cannot determine an object,,FALSE
Morgan is calling Lily.,2,,,FALSE
Patrick peels an owl.,2,,,FALSE
Barbara will be protecting a safety position.,2,,,FALSE
Mabel winked a glove.,1,wink AT,,FALSE
Who won't be running a legume?,-1,"run an operation, race, business, process; legume has no ""process"" element",,FALSE
Rita voided a chairman publication.,2,,,FALSE
Winston will be bawling a nasal trumpet.,-1,"bawl typically is intransitive; cannot bawl an object the subject is not sentiently controlling (e.g., ""eyes"")",,FALSE
Who sculpts 10 glandular branch arterys?,2,,,FALSE
Phoebe befriended a professional game player.,2,,,FALSE
Victoria doesn't envenom an exercise center.,-1,envenom an organic object; an excercise center is non living,,FALSE
Claudia will be granting five lower branches of the space anastomoses arterys to Colin.,1,,,FALSE
Stanley has not evacuated 8 left true rib 5 bones.,2,,,FALSE
Hilda designs a right inferior nasal conchae bone.,2,,,FALSE
Kristen auctioneered an apartment unit.,2,,,FALSE
Edmund was hunting a palmar carpal arch artery.,-3,hunt FOR; otherwise hunting implies the object is sentient and an artery is nonsentient,,FALSE
Winnie buries an anterolateral central artery.,2,,,FALSE
Ralph was pouring a gun muzzle.,-1,pour a liquid; gun muzzle is non-liquid,,FALSE
Gerald played a deep external pudendal artery.,-1,"play an instrument, game, not a nonsentient entity",,FALSE
Richard questions William.,2,,,FALSE
Who charged Keith?,2,,,FALSE
Joseph doesn't smile a lung.,-2,smile is an intransitive verb,,FALSE
Roland locates a neck.,2,,,FALSE
Who is acquiring a test protocol specification from a professional game player?,2,,,FALSE
Who will be spraying an air intake?,2,,,FALSE
Ursula is immunizing a military rank.,-1,immunize a living entity or one susceptible to organic pathogens; rank is an idea,,FALSE
Who will be starving a medical person?,2,,,FALSE
Bernice was not ingesting a valve.,2,,,FALSE
Katherine doesn't submit a generator to Noel.,2,,,FALSE
Who was mashing a moka Pot?,2,,,FALSE
Janet suffers UNK_WORK_OF_ART_3.,NULL,,,FALSE
Who wasn't strengthenning Maggie?,2,,,FALSE
Who was uploading a pnp transistor?,-1,upload a digital entity; pnp transistor is typically a physical object,,FALSE
Edmund advertizes a gasket.,2,,,FALSE
Who kicks a tumor?,2,,,FALSE
Kate thinned an earphone.,2,,,FALSE
Who ran a malarial plasmodium?,-1,"run an operation, race, business, process; legume has no ""process"" element",,FALSE
Who acts Hazel?,-1,act is usually intransitive,,FALSE
Adeline is massaging a manual labor.,-1,massage a physical entity; manual labor is a nonphysical idea,,FALSE
Who will fire a manifold heat control valve?,0,,,FALSE
Who was looking Melinda?,1,look FOR/AT,,FALSE
Karl has not starved Allan.,2,,,FALSE
Augusta was punishing Amselm.,2,,,FALSE
Alethea was performing a crimean congo hemorrhagic fever virus.,-1,perform an action; the object is not an action,,FALSE
Who won't shut a posterior inferior cerebellar artery?,2,,,FALSE
Karl will be punishing a US warrant officer rank.,-1,punish an object or sentient entity; a rank is a nonphysical construct,,FALSE
Donald pips a professional game player.,1,defeat at the last moment; ok; but old/weird verb,,FALSE
Charles will award an occupational trade a Bilberry.,-3,"award an idea, object, person not vocation; the ""occ. trade"" has no use for a ""bilberry""",,FALSE
Tony is experimenting to a college student position.,1,WITH,,FALSE
Who will not experiment a right distal foot phalanx V bone?,1,ON,,FALSE
Who assorted a spleen?,-1,spleen has no obvious subgroups; assort requires arranging an object's subgroups,,FALSE
Norman was planning.,2,,,FALSE
Alvin was breathing a noninverting amplifier.,-1,organic matter breathes air/vapor/etc; an amp is not an object that can be inhaled,,FALSE
Sharon is burying a veranda.,2,,,FALSE
Terence has not transformed four hens.,2,,,FALSE
Who punches Kelly?,2,,,FALSE
Who winks an alveolus?,1,AT,,FALSE
Who is planning a pot or pan?,-1,"plan an operation, process; a pot/pan is a physical entity",,FALSE
Ursula reexamines a hominid.,2,,,FALSE
Who will be working a hominid?,1,WITH,,FALSE
Lucas was seeking UNK_FAC_3.,NULL,,,FALSE
Joe smokes a material handling equipment.,-1,person smokes something that can be inhaled/eaten; equipment cannot be eaten,,FALSE
UNK_ORG_3 lubricates a tire.,NULL,,,FALSE
Who finds a bed frame?,2,,,FALSE
Mary will be selling a financial bill to Denis.,2,,,FALSE
Vivian is selling Nora a hypothalamus.,2,,,FALSE
Hamish borrowed a norfolk island pine seed from Francis.,2,,,FALSE
Linda will infect a film making profession with a palmar carpal arch artery.,-3,infect a living entity; a profession is not living,,FALSE
Raymond was punching a military rank.,-1,punch an object; rank is an idea,,FALSE
Bunny examined a permanent magnet dc motor.,2,,,FALSE
Who doesn't ring Tracy?,2,,,FALSE
Emily comprehended a theater profession.,1,weird,,FALSE
Clarice was running 5 inferior thyroid arterys.,-1,"run an operation, race, business, process; artery has no ""process"" element",,FALSE
Edmund will hear a rolling stock.,-1,rolling stock does not make noise; only hear noise,,FALSE
Who will be getting Robin?,2,,,FALSE
Who canvass a hotel?,1,canvasses,,FALSE
Who befriended Ralph?,2,,,FALSE
Who was suffering a kitchen?,-1,suffer an ailment/situation; kitchen is an object not a feeling/situation,,FALSE
Who shows a traffic light?,1,needs external context to make sense; eg show-tell at school,,FALSE
Claire smoothened a shoe.,2,,,FALSE
Who will smoke an elephant?,2,,,FALSE
Who compounds a Chevrolet engine?,2,,,FALSE
Abraham is transforming a train.,2,,,FALSE
Who is beckonning some wood product?,-1,beckon to a (sentient) entity that can move,,FALSE
Alfonso is designing a fishing vessel.,2,,,FALSE
Who is nodding to a military rank?,-1,nod to a sentient entity,,FALSE
Who is befriending Emil?,2,,,FALSE
Who doesn't egest 9 left distal foot phalanx II bones?,1,odd,,FALSE
Hannah was starting an organism.,-1,"start a race, event, procedure, process, not physical object (unless pieve of equipment)",,FALSE
Randy communicates a gun.,1,,,FALSE
Alfred won't refinance a right patella.,-1,refinance a financial transaction or purchase; typically cannot purchase a patella,,FALSE
Karina included a baton.,2,,,FALSE
Madeline fires a lock.,1,from a cannon,,FALSE
Who will be reverberating a patent?,0,?,,FALSE
Who was taking a red cabbage?,2,,,FALSE
Felix will burn a private rank.,-1,burn an object,,FALSE
Louis will be driving a body cavity.,-1,"drive a vehicle, operation, something operable; cavity is inoperable",,FALSE
Clement shoots a professional game player.,2,,,FALSE
Jessie will be bombarding a device.,2,,,FALSE
Who envisaged a walking cane?,2,,,FALSE
Sam haves UNK_WORK_OF_ART_2.,NULL,,,FALSE
Selina reproduces a self powered device.,2,,,FALSE
Who is fermenting a tympanic membrane?,1,odd,,FALSE
Roger doesn't impersonate Desmond.,2,,,FALSE
Fred will not take Gloria.,2,,,FALSE
Who was wading a fruit or vegetable?,-1,things with legs can wade,,FALSE
