,-3,Invalid: other,,
,-2,Invalid: subject,,
,-1,Invalid: object,,
,0,Unclear,,
,1,Valid: but grammar issue or pragmatically strange,,
,2,Valid,,
Sentence,Valid/Invalid,Reason Why,"Correct Type 
(exact SUMO term,
if more than one, 
separate with commas)","Invalid 
Preposition"
Who doesn't play a running track?,-1,a running track is an inanimate object and cannot be played like an entity or an activity,Game,FALSE
Claire is discovering a place of worship.,2,,,FALSE
0 bacteriums divided Ellen.,1,,,FALSE
Harold was not borrowing a pitchers mound from Emil.,-1,a pitchers mound is immovable and cannot be transported,Artifact,FALSE
Who designated a collarbone to a tool box?,-3,collarbone is not a tool,SocialRole,FALSE
Carl will be dredging a motor hopper.,0,"seems ok, domain knowledge",,FALSE
Rachel will be running a vehicle.,2,,,FALSE
Kate will not download a news feed.,2,,,FALSE
Ethel will not be performing a mouth.,-1,a mouth is not an action; actions are performed,Performance,FALSE
Who drives a lung?,-1,a lung cannot be driven (unless transported as an organ recovery),TransportationDevice,FALSE
A clostridium tetani infects a louse with a vaccinia virion.,2,,,FALSE
Who was not inflating an ornamental fish?,2,,,FALSE
Who will be playing a kitchen?,-1,"kitichen is not a role, game, ""sucker"", instrument","Game,MusicalInstrument",FALSE
Dominic was famishing Sebastian.,2,,,FALSE
Harry has not painted a Spruce tree.,2,,,FALSE
Alba will comprehend a cell nucleus.,2,,,FALSE
Who wasn't observing a la crosse virus?,2,,,FALSE
Jane will have to a throat.,0,,,FALSE
Who will be borrowing a calf?,2,,,FALSE
Sally will be egesting a red blood cell.,2,,,FALSE
A giardia lamblia is beckonning a device.,-2,giardia is not sentient; beckoning requires sentience,AutonomousAgent,FALSE
Who plays a sprinkler?,-1,"sprinkler is not a role, game, ""sucker"", instrument","Game,MusicalInstrument",FALSE
Lilian will recollect.,1,,,FALSE
Kristin tells an APC.,NULL,,,FALSE
Carol is vandalizing a religious building.,2,,,FALSE
A sorghum grass will trot a facial hair.,-1,grass is not sentient; trotting requires sentience,AutonomousAgent,FALSE
Who peels a snake?,2,,,FALSE
Robin doesn't taste a pancreas.,2,,,FALSE
Gladys was inferring Evan.,1,inferring about?,,FALSE
Who will seek a rhinoceros?,2,,,FALSE
Mildred will dodge a twin_sized bed.,2,,,FALSE
Bill financed a revolver gun.,2,,,FALSE
Who will inherit a wet bar?,2,,,FALSE
Who noticed a musical instrument?,2,,,FALSE
Carmen perceived a deltoid artery.,2,,,FALSE
Who is melting some cocoa bean?,2,,,FALSE
Ethel will visit a forty foot container.,2,,,FALSE
Who is interviewing a report?,-1,"report is nonsentient, only sentient entities can be interviewed",AutonomousAgent,FALSE
Grace presses a hat.,2,,,FALSE
An aloe vera plant is finding a single family residence.,-1,"a plant's findings are limited to its sense, plants cannot sense complex objects beyond light, water, etc",AutonomousAgent,FALSE
A tobacco will not be smoking some sugar.,-1,a tobacco's smoking is limited to being on fire; it cannot choose to smoke sugar,AutonomousAgent,FALSE
Adam will step a right proximal phalanx IV bone.,1,grammar: step ON,,FALSE
Who will roll a tire changer?,2,,,FALSE
A domestic cat inherited an anatomical structure from an ear.,-3,an ear does not reproduce; inherited traits are passed via reproduction,AutonomousAgent,FALSE
Who spreads a hotel?,2,,,FALSE
Who runs an insect?,-1,"run an organization, process, race; insect has its own ""agency""",Sport,FALSE
A coffee plant is buying some mint.,-2,coffee plant is non sentien; buying requires sentience,AutonomousAgent,FALSE
Who will not communicate a table to a kufiyyah?,-1,table is not an idea; can only communicate ideas,AutonomousAgent,FALSE
Allan will get an anchor from a currency.,-3,currency has no agency; give/get requries agency,AutonomousAgent,FALSE
Who doesn't smell 6 monkies?,2,,,FALSE
Douglas downloads an art studio.,2,,,FALSE
Who doesn't share a Poplar tree?,-1,share a divisible item; a poplar tree is a single unit,"AutonomousAgent, Artifact",FALSE
Ten cottonwood trees will smell Caitlin.,-2,trees' senses are limited and do not include smell; smell is for sentient entities,AutonomousAgent,FALSE
Caitlin won't be supporting a currency.,2,,,FALSE
Who referred a golf course?,2,,,FALSE
Alison will not be toying an organ.,-1,"""with"" an organ?","Game, Artifact",FALSE
Who will wade a swimming pool?,1,in,,FALSE
Alba figures a spinal cord.,0,,,FALSE
Lydia will be choosing a vending machine.,2,,,FALSE
Claudia protected an abnormal anatomical structure.,2,,,FALSE
Rebecca advertized a vine.,2,,,FALSE
Fiona was shooting a saw.,-1,shoot a projectile or film; saw is stationary,Device,FALSE
Sylvia bombarded a prison.,2,,,FALSE
A salmon doesn't hear an organ.,2,,,FALSE
Elizabeth has not uploaded a picture frame.,-1,picture frame is not digital; only digital entites can be uploaded,Software,FALSE
Who injects a respirator?,-1,"respirator is not an ""inject""able type e.g., liquid, or phrase","Liquid,Medicine",FALSE
A guinea pig was not performing a steering wheel.,-1,steerming wheel is not an action; only actions are performed,AutonomousAgent,FALSE
Gary will be singing a trousers.,-1,trouser is not a song/tune/etc; only those can be sung,Song,FALSE
Richard will be smoothing a fabric.,2,,,FALSE
Kristen will be tying seven right ossa coxaes.,2,,,FALSE
Alice pares ten left gastric arterys.,2,,,FALSE
Who mails ten left true rib 5 bones?,1,grammar,,FALSE
Tom will be painting a coin.,2,,,FALSE
Kathleen wasn't raising a muscular ulnar artery.,1,her,,FALSE
A tobacco smokes a firearm.,-2,tobacco cannot smoke an object; can only use smoke as intransitive verb,AutonomousAgent,FALSE
Sarah has not nodded a nail.,-1,a nail is not gesticulable,Head,FALSE
A reptile doesn't immunise Richard.,2,,,FALSE
Jack will be figuring a hominid.,1,figure a hominid out of clay,,FALSE
Two algas starved a product.,2,,,FALSE
Harry doesn't fall a skylight.,-1,fall a tree,,FALSE
A RNA virus will be plugging a deltoid muscle.,-1,"plug thiings with holes, a deltoid muscle does not have a hole",,FALSE
Who will be tying a thorax bone to a pencil?,2,,,FALSE
Who isn't uploading a motion picture?,2,,,FALSE
7 horses is wading a board or block.,-1,wade in water or shallow liquid; block is solid,,FALSE
Who auctions 3 birds?,2,,,FALSE
Who is freezing a text?,2,,,FALSE
Alvin sells Bridget a coin.,2,,,FALSE
Who won't skin a snake?,2,,,FALSE
Henry doesn't press a French press.,2,,,FALSE
Who will get a Chevrolet engine?,2,,,FALSE
Pete irons 8 muscular ulnar arterys.,-1,"iron cloth, not organic matter",,FALSE
Two felines befriends a cocoa tree.,-1,trees are not sentient; friendship is between two sentient entities,,FALSE
Lucas haves a license.,2,,,FALSE
A bacterium infected a worm with a lacrimal artery.,2,,,FALSE
An elephant reckons a small intestine.,0,,,FALSE
Who puted an academic degree?,0,?,,FALSE
Lucy steals a genetically engineered organism from an engine control module.,-3,organic matter is not part of a mechanical engine (under my best understanding of current science),,FALSE
Who matches Mark?,2,,,FALSE
Who will be swarming a hominid?,0,,,FALSE
Thomas will see Alice.,2,,,FALSE
Rachel will be hearing Arnold.,2,,,FALSE
Who designed a Balsa tree?,1,,,FALSE
A mammal is forgiving Sonya.,2,,,FALSE
Ricky presents Felix a board or block.,2,,,FALSE
Rachel will be setting a pollen.,0,,,FALSE
Who sends an electrocardiogram?,2,,,FALSE
Who doesn't raise a lid?,1,,,FALSE
A feline eats some RNA molecule.,-1,"eat ""food""; ingest something non-food; rna is non-food",,FALSE
Nicholas wasn't pouring eight arteries.,-1,only pour liquids; artery is solid,,FALSE
Hilda thinned a lentil.,1,odd,,FALSE
Who won't bury an animal shell?,2,,,FALSE
6 monkies will raise a drum.,2,,,FALSE
Madeline is catching Penny.,2,,,FALSE
An Escherichia coli will not upload an intelsat.,-2,uploading reequires sentience/agency; e-coli is nonsentient,,FALSE
Who is producing a party platform?,2,,,FALSE
Who wasn't placing a left lacrimal bone?,2,,,FALSE
5 primates will be communicating a painted picture to Felix.,2,,,FALSE
Who turns a taillight?,1,,,FALSE
Who is not envenomming an occipital lobes?,1,,,FALSE
Pearl drives a vehicle.,2,,,FALSE
Bill has not imbibed a fabric.,-1,imbibe a liquid/beverage; fabric is solid,,FALSE
Pete born Ursula.,-3,birthed?,,FALSE
Stella catches Paul.,2,,,FALSE
Sharon swops a salmon.,-3,swap an item for another,,FALSE
