,-3,Invalid: other,,,,,,
,-2,Invalid: subject,,,,,,
,-1,Invalid: object,,,,,,
,0,Unclear,,,,,,
,1,Valid: but grammar issue or pragmatically strange,,,,,,
,2,Valid,,,,,,
Sentence,Valid/Invalid,Reason Why,"Correct Type (exact SUMO term, if more than one, separate with commas)","Invalid 
Preposition",,,,
The tourist interviewed Marilyn.,2,,,FALSE,,,,
Who ferments the day duration?,-1,ferment organic matter; object here is not organic matter,OrganicThing,FALSE,,,,
The concierge will not be drinking a game.,-1,drink a liquid/beverage; object is not in this class,"Beverage, Water",FALSE,,,,
The golfer will borrow the year duration.,-1,borrow a physical entity; object is not physical,,FALSE,,,,
Grace doesn't compare a field of study.,1,,,FALSE,,,,
,2,,,FALSE,,,,
The manager doesn't violate the investor.,2,violate a rule (abstract concept); investor is an object / physical entity,,FALSE,,,,; can violate a person
The writer is sculpting a woman.,2,,,FALSE,,,,
Eileen comminutes a cell nucleus.,1,,,FALSE,,,,
The prisoner will play a shopping mall.,-1,"play an instrument, game, not a nonsentient entity","Game, MusicalInstrument, ElectronicDataStorageDevice",FALSE,,,,
The pianist is burying a subjective assessment attribute.,-1,bury a physical entity; the object is nonphysical,"Artifact, Magnet, SphericalObject, SelfConnectedObject, Shrapnel",FALSE,,,,
Emil is locating a growth.,2,,,FALSE,,,,
Ronald doesn't hide the US military rank e5.,2,,,FALSE,,,,
Norma has not uploaded a serving.,-1,upload a digital entity; serving is not digital,DigitalData,FALSE,,,,
The US military rank e6 will be storing 10 branch artery to surface of the femur and the knee joints.,-2,rank is a concept and cannot store; storing requires sentience,,FALSE,,,,
The monk won't be ideating a continuous combustion engine.,2,,,FALSE,,,,
Who is fishing a group of people?,1,FOR/WITH,,FALSE,,,,
The radio operator will be submitting a bowling ball to Constance.,2,,,FALSE,,,,
The internet user will bury an above the line.,-1,"bury a physical entity; ""above teh line"" is a concept","Artifact, Magnet, SphericalObject, SelfConnectedObject, Shrapnel",FALSE,,,,
The Hockey player doesn't intend to the secretary of the interior to minify.,-3,,,FALSE,,,,
The abbot evinces a woman.,-1,evince a concept; a woman is a physical entity,Proposition,FALSE,,,,
The king was purchasing a group of people.,2,:(,,FALSE,,,,
The Marksman professional fishes a body covering.,1,fish FOR/WITH,,FALSE,,,,
The US military rank e3 smokes UNK_WORK_OF_ART_2.,NULL,,,FALSE,,,,
Who was refinancing a question?,-1,refinance an object/purhcase/agreement; a quesiton is an abstract concept a nonphysical entity,"Organization, OperationPlan, EducationalProgram",FALSE,,,,
The tourist chooses a week.,2,,,FALSE,,,,
The celebrity is painting the day duration.,-1,paint a physical entity; day duration is a concept,Artifact,FALSE,,,,
Rodney empties a food.,-1,"empty a physical object; inthis context, food feels like a concept",Holder,FALSE,,,,
Sara excretes a planting.,-1,excrete biologcal material produced by subject; a planting is bio-material but not owned/produced by subj,Excrement,FALSE,,,,
Douglas loans a group of people to the journalist.,2,,,FALSE,,,,
Alexander loses Lilian.,2,,,FALSE,,,,
The student wasn't determining.,1,,,FALSE,,,,
Who was assailing an intentional process?,-1,assail an object; a process cannot receive the intention,"GeographicArea, LandArea",FALSE,,,,
The US military rank o6 finds 0 maple trees.,-2,rank is a concept (nonsentient); find requires sentience,,FALSE,,,,
Doug has not massaged the plumber.,2,,,FALSE,,,,
Rosa is regarding a human child.,1,need follow on? regard X as Y,,FALSE,,,,
Pete won't be getting a food from Alban.,2,,,FALSE,,,,
Who will be bellowing an intentional process?,-1,bellow a sound (physical); a process is an abstract concept,,FALSE,,,,
The tourist fishes a lake.,2,,,FALSE,,,,
The police officer isn't evacuating Morgan.,2,,,FALSE,,,,
Who is detecting the year duration?,NULL,is year duration also an unpopulated field,,FALSE,,,,
The carpenter runs the sailor.,-1,"run an operation, race, business, process; sailor is sentient entity and has no ""process"" element",,FALSE,,,,
Who was eating a man?,2,,,FALSE,,,,
Winnie was dodging an intentional process.,-1,dodge an object,,FALSE,,,,
Who will plan?,2,,,FALSE,,,,
Martin was storing a physical system.,2,,,FALSE,,,,
Who buys ten women from the internally displaced person?,1,weird,,FALSE,,,,
The astronomer will be wetting a radiating electromagnetic.,-1,object  doessnt seem to be a noun,,FALSE,,,,
Andrew drives an artifact.,-1,drive a vehicle; drive an artifact IN a vehicle,,FALSE,,,,
The consumer was pulling a group of people.,0,in a wagon...,,FALSE,,,,
The manager will not be compacting a subjective assessment attribute.,0,,,FALSE,,,,
Francis will be designing a water area.,2,,,FALSE,,,,
Who is cooling an intentional process?,-1,cool an object with physical properties; a process is not a physical object,,FALSE,,,,
The college senior was planning a tail.,-1,"plan a concept (event, escape); tail is a physical object",,FALSE,,,,
The Queen regnant infects Alex with an ape.,-3,infect with a virus or something micro-organica matter; ape is macro organic,,FALSE,,,,
Maggie is cutting the when.,-1,object is not a noun?,,FALSE,,,,
The writer will locate Alison.,2,,,FALSE,,,,
The cleric locates UNK_ORG_2.,NULL,,,FALSE,,,,
The US military rank o2 is downloading a charger.,-2,rank is a concept and nonsentient; download requires sentience subject,,FALSE,,,,
The anthropologist is ingesting an organism.,2,,,FALSE,,,,
Gertrude ideates a violin.,2,,,FALSE,,,,
The US military rank o5 was imagining an inductor element.,-2,rank is a concept and nonsentient; imagine requires sentience subject,,FALSE,,,,
The US military rank o3 doesn't penalize Alec.,-2,rank is a concept and nonsentient; penalize requires sentience subject,,FALSE,,,,
The statistician will slit a group of people.,-1,slit a physical object; a group of people is not a single object,,FALSE,,,,
Kristin is conveying a psychological process.,2,,,FALSE,,,,
The college sophomore will be envisaging an aerator.,2,,,FALSE,,,,
Who is breathing a week?,-1,breathe a vapro; week is an abstract concept,,FALSE,,,,
The poker player was revealing a soccer ball.,2,,,FALSE,,,,
Who bombarded a week?,-1,bombard a physical object; week is an abstract concept,,FALSE,,,,
The pharmacist is cutting a computer program.,-1,cut a physical entity; comp program is digital,,FALSE,,,,
The musical conductor is injecting the potter with an electronic data storage device.,-3,inject with micro organic matter; data storage is macro inorganicmatter,,FALSE,,,,
Robert was smoothenning an animal residence.,2,,,FALSE,,,,
The historian will not be advertising an university.,2,,,FALSE,,,,
Gerry famishes Gerald.,2,,,FALSE,,,,
Nora will be uploading an intentional process.,-1,upload a digital entity; a process is nonphysical but not digital,,FALSE,,,,
The human slave acts Austin.,-1,act is intransitive,,FALSE,,,,
The waiter will swop a bowling ball.,1,spelling,,FALSE,,,,
Who fires an attack?,2,,,FALSE,,,,
Alex is designing an internal change.,2,,,FALSE,,,,
Sam was not auctioning an intentional process.,-1,auction an item; process is a nonpyhiscal concept,,FALSE,,,,
Sheila has not raped Wilfred.,2,,,FALSE,,,,
The anthropologist was kicking the when.,-1,kick a physical object; when is nonphysical?,,FALSE,,,,
Kristen will drive a fact.,-1,drive a physical object; fact is nonphysical,,FALSE,,,,
Roger heard a number.,-1,number cannot make noise itself,,FALSE,,,,
Max fortifies the tourist.,-1,fortify a nonsentientphysical object; tourist is sentient,,FALSE,,,,
The concierge roughened a woman.,2,,,FALSE,,,,
Dawn fired an object.,2,presumably FROM,,FALSE,,,,
Mike doesn't combine a human child.,-1,combine plural; object is singular,,FALSE,,,,
Who doesn't infect the Chess player?,2,,,FALSE,,,,
The medical doctor was concealing the pilot.,2,,,FALSE,,,,
Who partakes a fictional text?,-1,partake in an activity; fictional text is an object or nonphysical concept,,FALSE,,,,
The waiter financed an intentional process.,-1,finance a purchase/object; process is a nonphysical concept,,FALSE,,,,
Who shoots the linguist with a subjective assessment attribute?,-3,shoot with a physical object,,FALSE,,,,
Morgan will kill a nation.,-1,kill a living entity; nation is not living,,FALSE,,,,
The Queen consort is not killing the film director.,2,,,FALSE,,,,
Who ducks a day?,-1,duck a physical object; day is concept,,FALSE,,,,
Jack will be giving Ignatius an organism.,2,,,FALSE,,,,
The drummer will be toying a human child.,1,WITH,,FALSE,,,,
Jacinta will dishonor Ricky.,2,,,FALSE,,,,
Who doesn't perform a week?,-1,perform an activity; week is a concept,,FALSE,,,,
Casey famishes Victor.,-2,a person does not famish another person,,FALSE,,,,
